2022-02-11 19:18	8.6	32.6	650	150	300
2022-02-12 19:16	8.4	32.6	700	300	300
2022-02-13 19:14	8.5	32.6	750	200	300
2022-02-14 19:12	8.5	32.6	770	300	300
2022-02-15 19:10	7.4	32.3	650	100	300
2022-02-16 19:08	7.6	32.5	600	200	300
2022-02-17 19:06	8	32.3	500	300	300
2022-02-18 19:04	7.7	32.4	550	400	300
2022-02-19 19:02	7.54	32.3	600	300	300
2022-02-20 19:00	7.44	32.26	600	200	300
2022-02-21 18:58	7.34	32.22	630	300	300
2022-02-22 18:56	7.24	32.18	670	350	300
2022-02-23 18:54	7.14	32.14	700	300	300
2022-02-24 18:52	7.04	32.1	690	350	300
